question_id;question_text
1;What does a red octagonal sign mean?
2;What should you do when approaching a yellow traffic light?
3;What does a triangular sign with a red border and white interior mean?
4;What does a diamond-shaped yellow sign indicate?
5;What does a rectangular white sign with black lettering typically indicate?
6;What does a green rectangular sign indicate?
7;What should you do when you see a flashing red traffic light?
8;What does a flashing yellow traffic light mean?
9;What does a sign with a red circle and diagonal line through a symbol mean?
10;What does a pentagon-shaped sign indicate?
11;What does a blue rectangular sign typically indicate?
12;What should you do when approaching a construction zone with orange signs?
13;What does a brown rectangular sign indicate?
14;What does a railroad crossing sign look like?
15;"What does a No U-Turn"" sign look like?"""
16;Who has the right-of-way at a four-way stop?
17;When making a left turn, who must you yield to?
18;Who has the right-of-way when entering a highway from an on-ramp?
19;Who has the right-of-way at an uncontrolled intersection?
20;When must you yield to pedestrians?
21;Who has the right-of-way when emergency vehicles approach with sirens and lights?
22;When backing out of a parking space, who has the right-of-way?
23;Who has the right-of-way at a yield sign?
24;When turning right on red, who must you yield to?
25;Who has the right-of-way when funeral processions are moving?
26;At a traffic circle or roundabout, who has the right-of-way?
27;When changing lanes, who has the right-of-way?
28;Who has the right-of-way at a school crossing with a crossing guard?
29;When two vehicles approach a narrow bridge simultaneously, who has the right-of-way?
30;Who has the right-of-way between a vehicle and a bicycle at an intersection?
31;What is the basic speed rule in Alaska?
32;What is the typical residential speed limit in Alaska?
33;What is the typical speed limit on Alaska highways?
34;When must you reduce your speed below the posted limit?
35;What is the penalty for exceeding the speed limit by 10 mph or more?
36;What is the speed limit in school zones?
37;How far must you stay behind another vehicle?
38;When is it illegal to pass another vehicle?
39;What is the minimum safe following distance in poor weather?
40;"What does Move Over"" law require?"""
41;When are headlights required in Alaska?
42;What is the hand signal for a left turn?
43;What is the hand signal for a right turn?
44;What is the hand signal for stopping or slowing down?
45;When must you use your turn signal?
46;How far from a fire hydrant must you park?
47;How far from a stop sign must you park?
48;How far from a crosswalk must you park?
49;Can you park in front of a driveway?
50;How far from a fire station driveway must you park?
51;Is it legal to park on a sidewalk?
52;Can you park within an intersection?
53;How far from a railroad crossing must you park?
54;Can you park in a bike lane?
55;What does a red curb mean?
56;What does a yellow curb mean?
57;What does a blue curb mean?
58;What does a green curb mean?
59;What does a white curb mean?
60;Is it legal to park facing the wrong direction on a street?
61;What is the legal blood alcohol limit for drivers 21 and over in Alaska?
62;What is the legal blood alcohol limit for drivers under 21 in Alaska?
63;What is the legal blood alcohol limit for commercial drivers?
64;What is implied consent in Alaska?
65;What happens if you refuse a breathalyzer test in Alaska?
66;How long can your license be suspended for a first DUI conviction?
67;What is the penalty for DUI with a BAC of 0.15% or higher?
68;Can you be arrested for DUI even if your BAC is below 0.08%?
69;What is the penalty for DUI with a minor in the vehicle?
70;How long do DUI convictions stay on your record in Alaska?
71;What is an ignition interlock device?
72;When might you be required to install an ignition interlock device?
73;Can you be charged with DUI for prescription drugs?
74;"What is the per se"" law regarding DUI?"""
75;Can you be arrested for DUI on private property?
76;When must you wear a seatbelt in Alaska?
77;At what age can a child sit in the front seat?
78;What is the penalty for not wearing a seatbelt?
79;When is it legal to use a cell phone while driving?
80;What should you do if your vehicle breaks down on the highway?
81;How should you handle a tire blowout while driving?
82;What is the three-second rule?
83;When should you use your hazard lights?
84;What should you do if you miss your exit on a highway?
85;When entering a highway, what should you do?
86;What is the proper way to make a three-point turn?
87;When parallel parking, how close to the curb should you be?
88;What should you do when approaching a stopped school bus with flashing red lights?
89;When can you pass a school bus?
90;What is the penalty for passing a school bus illegally?
91;How should you handle an aggressive driver?
92;What should you do in a road rage situation?
93;When is it legal to drive in the left lane on a multi-lane highway?
94;What should you do if you're being tailgated?
95;What is the proper procedure for changing lanes?
96;When should you dim your headlights?
97;What should you do if you encounter a funeral procession?
98;What is the penalty for littering from a vehicle?
99;When must you report a traffic accident?
100;What information must you exchange after an accident?
