answer_id;question_id;answer_text;is_correct
1;1;"Proceed with caution; the sign is only advisory.";0
2;1;Slow down and proceed if the way is clear.;0
3;1;Stop completely and come to a full stop.;1
4;1;Yield to traffic but do not stop completely.;0
5;2;Stop immediately even if you are already in the intersection.;0
6;2;"Continue through without slowing; yellow means keep moving.";0
7;2;Speed up to clear the intersection before it changes.;0
8;2;"Prepare to stop if it is safe to do so; the light is about to turn red.";1
9;3;Yield to traffic but do not stop completely.;0
10;3;Slow down and proceed if the way is clear.;0
11;3;Yield - give the right-of-way to other vehicles and pedestrians.;1
12;3;"Proceed with caution; the sign is only advisory.";0
13;4;Warning - alerts drivers to potential hazards ahead.;1
14;4;"Proceed with caution; the sign is only advisory.";0
15;4;Yield to traffic but do not stop completely.;0
16;4;Slow down and proceed if the way is clear.;0
17;5;Regulatory information, such as speed limits or parking restrictions.;1
18;5;"Proceed with caution; the sign is only advisory.";0
19;5;Yield to traffic but do not stop completely.;0
20;5;Slow down and proceed if the way is clear.;0
21;6;"Proceed with caution; the sign is only advisory.";0
22;6;Slow down and proceed if the way is clear.;0
23;6;Yield to traffic but do not stop completely.;0
24;6;Directional information, such as highway directions or distances to destinations.;1
25;7;Speed up to clear the intersection before it changes.;0
26;7;Treat it as a stop sign - come to a complete stop and proceed when safe.;1
27;7;Stop immediately even if you are already in the intersection.;0
28;7;"Continue through without slowing; red means keep moving.";0
29;8;Speed up to clear the intersection before it changes.;0
30;8;Stop immediately even if you are already in the intersection.;0
31;8;Proceed with caution and be prepared to yield.;1
32;8;"Continue through without slowing; yellow means keep moving.";0
33;9;Slow down and proceed if the way is clear.;0
34;9;Prohibition - the action shown is not allowed.;1
35;9;Yield to traffic but do not stop completely.;0
36;9;"Proceed with caution; the sign is only advisory.";0
37;10;Slow down and proceed if the way is clear.;0
38;10;Indicates an upcoming pedestrian crosswalk area;0
39;10;Warns of a nearby playground where children may be present;0
40;10;School zone or school crossing ahead.;1
41;11;Slow down and proceed if the way is clear.;0
42;11;Yield to traffic but do not stop completely.;0
43;11;Motorist services, such as gas stations, food, or lodging.;1
44;11;"Proceed with caution; the sign is only advisory.";0
45;12;"Proceed with caution; the sign is only advisory.";0
